artist_uri,artist_name,song_uri,song_name
spotify:artist:3yY2gUcIsjMr8hjo51PoJ8,The Smiths,spotify:track:0WQiDwKJclirSYG9v5tayI,There Is a Light That Never Goes Out - 2011 Remaster
spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,spotify:track:34gCuhDGsG4bRPIf9bb02f,Thinking out Loud
spotify:artist:3CjlHNtplJyTf9npxaPl5w,CHVRCHES,spotify:track:2pE0CMK1fE3mfU0eEOHhKw,The Mother We Share
spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,spotify:track:0DiWol3AO6WpXZgp0goxAV,One More Time
spotify:artist:0DxeaLnv6SyYk2DOqkLO8c,MAGIC!,spotify:track:6RtPijgfPKROxEzTHNRiDp,Rude
spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,Clocks
spotify:artist:22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,spotify:track:1Ud6moTC0KyXMq1Oxfien0,Sympathy For The Devil - 50th Anniversary Edition
spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,spotify:track:2cGxRwrMyEAp8dEbuZaVv6,Instant Crush
spotify:artist:2wY79sveU1sp5g7SokKOiI,Sam Smith,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me
spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,spotify:track:0d28khcov6AiegSCpG5TuT,Feel Good Inc.
spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,spotify:track:0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars
spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,spotify:track:0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster
spotify:artist:4phGZZrJZRo4ElhRtViYdl,Jason Mraz,spotify:track:1EzrEOXmMH3G43AXT1y7pA,I'm Yours
spotify:artist:00FQb4jTyendYWaN8pK0wa,Lana Del Rey,spotify:track:2lFTzUnuGaWlWHJQokjRyb,Blue Jeans
spotify:artist:22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black"
